transaction_date,product_id,product_category,product_type,product_detail,store_id,store_location,total_qty_sold,avg_unit_price,total_sales_value,cost_of_sales,gross_profit,gross_profit_pct
2023-01-04,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,5,Lower Manhattan,5,3,15,9,6,40
2023-01-04,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,8,Hell's Kitchen,4,3.5,14,8.4,5.6,40
2023-01-04,71,Bakery,Pastry,Chocolate Croissant,5,Lower Manhattan,6,3.75,22.5,13.5,9,40
2023-01-04,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,8,Hell's Kitchen,7,3.1,21.7,13.02,8.68,40
2023-01-04,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3,Astoria,7,3.1,21.7,13.02,8.68,40
2023-01-04,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,5,Lower Manhattan,8,2.45,19.6,11.76,7.84,40
2023-01-04,70,Bakery,Scone,Cranberry Scone,8,Hell's Kitchen,2,3.25,6.5,3.9,2.6,40
2023-01-04,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,3,Astoria,3,3.5,10.5,6.3,4.2,40
2023-01-05,40,Coffee,Barista Espresso,Cappuccino,8,Hell's Kitchen,7,3.75,26.25,15.75,10.5,40
2023-01-05,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,8,Hell's Kitchen,2,3,6,3.6,2.4,40
2023-01-05,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3,Astoria,15,3.75,56.25,33.75,22.5,40
2023-01-05,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3,Astoria,9,3.1,27.9,16.74,11.16,40
2023-01-05,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,3,Astoria,5,2.45,12.25,7.35,4.9,40
2023-01-05,74,Bakery,Biscotti,Ginger Biscotti,8,Hell's Kitchen,1,3.5,3.5,2.1,1.4,40
2023-01-06,70,Bakery,Scone,Cranberry Scone,5,Lower Manhattan,2,3.25,6.5,3.9,2.6,40
2023-01-06,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5,Lower Manhattan,7,2.55,17.85,10.71,7.14,40
2023-01-06,26,Coffee,Organic brewed coffee,Brazilian Rg,8,Hell's Kitchen,4,3,12,7.2,4.8,40
2023-01-06,40,Coffee,Barista Espresso,Cappuccino,8,Hell's Kitchen,2,3.75,7.5,4.5,3,40
2023-01-06,37,Coffee,Barista Espresso,Espresso shot,8,Hell's Kitchen,5,3,15,9,6,40
2023-01-06,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3,Astoria,5,3.5,17.5,10.5,7,40
2023-01-06,47,Tea,Brewed Green tea,Serenity Green Tea Lg,3,Astoria,8,3,24,14.4,9.6,40
2023-01-06,43,Tea,Brewed herbal tea,Lemon Grass Lg,5,Lower Manhattan,2,3,6,3.6,2.4,40
2023-01-06,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,5,Lower Manhattan,5,2,10,6,4,40
2023-01-06,79,Bakery,Scone,Jumbo Savory Scone,8,Hell's Kitchen,1,3.75,3.75,2.25,1.5,40
2023-01-06,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,8,Hell's Kitchen,3,4.5,13.5,8.1,5.4,40
2023-01-06,77,Bakery,Scone,Oatmeal Scone,3,Astoria,2,3,6,3.6,2.4,40
2023-01-07,65,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,8,Hell's Kitchen,5,0.8,4,2.4,1.6,40
2023-01-07,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,8,Hell's Kitchen,5,2.5,12.5,7.5,5,40
2023-01-07,26,Coffee,Organic brewed coffee,Brazilian Rg,3,Astoria,3,3,9,5.4,3.6,40
2023-01-07,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,8,Hell's Kitchen,14,3,42,25.2,16.8,40
2023-01-07,70,Bakery,Scone,Cranberry Scone,8,Hell's Kitchen,2,3.25,6.5,3.9,2.6,40
2023-01-07,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,8,Hell's Kitchen,13,2,26,15.6,10.4,40
2023-01-07,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,8,Hell's Kitchen,6,3.75,22.5,13.5,9,40
2023-01-07,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,8,Hell's Kitchen,6,3,18,10.8,7.2,40
2023-01-07,43,Tea,Brewed herbal tea,Lemon Grass Lg,8,Hell's Kitchen,4,3,12,7.2,4.8,40
2023-01-07,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,5,Lower Manhattan,1,3.75,3.75,2.25,1.5,40
2023-01-07,75,Bakery,Pastry,Croissant,3,Astoria,2,3.5,7,4.2,2.8,40
2023-01-07,77,Bakery,Scone,Oatmeal Scone,3,Astoria,2,3,6,3.6,2.4,40
2023-01-08,27,Coffee,Organic brewed coffee,Brazilian Lg,8,Hell's Kitchen,7,3.5,24.5,14.7,9.8,40
2023-01-08,1,Coffee beans,Organic Beans,Brazilian - Organic,5,Lower Manhattan,3,18,54,32.4,21.6,40
2023-01-08,74,Bakery,Biscotti,Ginger Biscotti,8,Hell's Kitchen,5,3.5,17.5,10.5,7,40
2023-01-08,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,5,Lower Manhattan,8,2,16,9.6,6.4,40
2023-01-08,37,Coffee,Barista Espresso,Espresso shot,3,Astoria,3,3,9,5.4,3.6,40
2023-01-08,38,Coffee,Barista Espresso,Latte,5,Lower Manhattan,8,3.75,30,18,12,40
2023-01-08,75,Bakery,Pastry,Croissant,8,Hell's Kitchen,2,3.5,7,4.2,2.8,40
2023-01-08,50,Tea,Brewed Black tea,Earl Grey Rg,5,Lower Manhattan,8,2.5,20,12,8,40
2023-01-08,41,Coffee,Barista Espresso,Cappuccino Lg,8,Hell's Kitchen,3,4.25,12.75,7.65,5.1,40
2023-01-08,16,Loose Tea,Chai tea,Traditional Blend Chai,3,Astoria,1,8.95,8.95,5.37,3.58,40
2023-01-08,10,Coffee beans,Green beans,Guatemalan Sustainably Grown,3,Astoria,1,10,10,6,4,40
2023-01-09,46,Tea,Brewed Green tea,Serenity Green Tea Rg,8,Hell's Kitchen,16,2.5,40,24,16,40
2023-01-09,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5,Lower Manhattan,9,2.55,22.95,13.77,9.18,40
2023-01-09,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,Astoria,8,3,24,14.4,9.6,40
2023-01-09,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,5,Lower Manhattan,5,3,15,9,6,40
2023-01-09,77,Bakery,Scone,Oatmeal Scone,3,Astoria,2,3,6,3.6,2.4,40
2023-01-09,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,8,Hell's Kitchen,5,3,15,9,6,40
2023-01-09,78,Bakery,Scone,Scottish Cream Scone ,5,Lower Manhattan,2,5.63,11.26,6.76,4.5,40
2023-01-09,50,Tea,Brewed Black tea,Earl Grey Rg,8,Hell's Kitchen,8,2.5,20,12,8,40
2023-01-09,72,Bakery,Scone,Ginger Scone,5,Lower Manhattan,2,4.06,8.12,4.87,3.25,40
2023-01-09,42,Tea,Brewed herbal tea,Lemon Grass Rg,8,Hell's Kitchen,1,2.5,2.5,1.5,1,40
2023-01-09,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3,Astoria,2,3.5,7,4.2,2.8,40
2023-01-09,72,Bakery,Scone,Ginger Scone,8,Hell's Kitchen,1,3.25,3.25,1.95,1.3,40
2023-01-10,75,Bakery,Pastry,Croissant,5,Lower Manhattan,6,3.5,21,12.6,8.4,40
2023-01-10,51,Tea,Brewed Black tea,Earl Grey Lg,3,Astoria,10,3,30,18,12,40
2023-01-10,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,3,Astoria,6,2,12,7.2,4.8,40
2023-01-10,9,Coffee beans,Organic Beans,Organic Decaf Blend,5,Lower Manhattan,1,22.5,22.5,13.5,9,40
2023-01-10,20,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,8,Hell's Kitchen,1,7.6,7.6,4.56,3.04,40
2023-01-10,47,Tea,Brewed Green tea,Serenity Green Tea Lg,8,Hell's Kitchen,4,3,12,7.2,4.8,40
2023-01-10,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,5,Lower Manhattan,8,2,16,9.6,6.4,40
2023-01-10,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,3,Astoria,1,2.45,2.45,1.47,0.98,40
2023-01-11,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,5,Lower Manhattan,5,3.1,15.5,9.3,6.2,40
2023-01-11,64,Flavours,Regular syrup,Hazelnut syrup,8,Hell's Kitchen,2,0.8,1.6,0.96,0.64,40
2023-01-11,47,Tea,Brewed Green tea,Serenity Green Tea Lg,8,Hell's Kitchen,10,3,30,18,12,40
2023-01-11,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,8,Hell's Kitchen,5,3,15,9,6,40
2023-01-11,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,8,Hell's Kitchen,4,3.5,14,8.4,5.6,40
2023-01-11,4,Coffee beans,Espresso Beans,Primo Espresso Roast,5,Lower Manhattan,1,20.45,20.45,12.27,8.18,40
2023-01-11,50,Tea,Brewed Black tea,Earl Grey Rg,3,Astoria,5,2.5,12.5,7.5,5,40
2023-01-12,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,5,Lower Manhattan,3,3.5,10.5,6.3,4.2,40
2023-01-12,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,8,Hell's Kitchen,9,3,27,16.2,10.8,40
2023-01-12,38,Coffee,Barista Espresso,Latte,8,Hell's Kitchen,3,3.75,11.25,6.75,4.5,40
2023-01-12,63,Flavours,Regular syrup,Carmel syrup,8,Hell's Kitchen,8,0.8,6.4,3.84,2.56,40
2023-01-12,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,5,Lower Manhattan,15,3.75,56.25,33.75,22.5,40
2023-01-12,74,Bakery,Biscotti,Ginger Biscotti,3,Astoria,2,3.5,7,4.2,2.8,40
2023-01-12,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,8,Hell's Kitchen,2,3.5,7,4.2,2.8,40
2023-01-12,40,Coffee,Barista Espresso,Cappuccino,3,Astoria,4,3.75,15,9,6,40
2023-01-12,44,Tea,Brewed herbal tea,Peppermint Rg,5,Lower Manhattan,3,2.5,7.5,4.5,3,40
2023-01-13,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,5,Lower Manhattan,5,4,20,12,8,40
2023-01-13,78,Bakery,Scone,Scottish Cream Scone ,3,Astoria,3,4.5,13.5,8.1,5.4,40
2023-01-13,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,5,Lower Manhattan,6,3,18,10.8,7.2,40
2023-01-13,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3,Astoria,1,3.1,3.1,1.86,1.24,40
2023-01-13,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,8,Hell's Kitchen,6,3,18,10.8,7.2,40
2023-01-13,79,Bakery,Scone,Jumbo Savory Scone,8,Hell's Kitchen,5,3.75,18.75,11.25,7.5,40
2023-01-13,27,Coffee,Organic brewed coffee,Brazilian Lg,8,Hell's Kitchen,17,3.5,59.5,35.7,23.8,40
2023-01-13,71,Bakery,Pastry,Chocolate Croissant,8,Hell's Kitchen,7,3.75,26.25,15.75,10.5,40
2023-01-13,50,Tea,Brewed Black tea,Earl Grey Rg,3,Astoria,4,2.5,10,6,4,40
2023-01-13,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,8,Hell's Kitchen,12,4,48,28.8,19.2,40
2023-01-13,50,Tea,Brewed Black tea,Earl Grey Rg,5,Lower Manhattan,4,2.5,10,6,4,40
2023-01-13,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,8,Hell's Kitchen,8,2.45,19.6,11.76,7.84,40
2023-01-13,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,5,Lower Manhattan,7,3.5,24.5,14.7,9.8,40
2023-01-13,77,Bakery,Scone,Oatmeal Scone,5,Lower Manhattan,3,3,9,5.4,3.6,40
2023-01-14,45,Tea,Brewed herbal tea,Peppermint Lg,5,Lower Manhattan,4,3,12,7.2,4.8,40
2023-01-14,65,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,8,Hell's Kitchen,10,0.8,8,4.8,3.2,40
2023-01-14,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,3,Astoria,7,2.45,17.15,10.29,6.86,40
2023-01-14,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,8,Hell's Kitchen,3,3.5,10.5,6.3,4.2,40
2023-01-14,75,Bakery,Pastry,Croissant,3,Astoria,2,3.5,7,4.2,2.8,40
2023-01-14,37,Coffee,Barista Espresso,Espresso shot,5,Lower Manhattan,5,3,15,9,6,40
2023-01-14,4,Coffee beans,Espresso Beans,Primo Espresso Roast,3,Astoria,1,20.45,20.45,12.27,8.18,40
2023-01-15,37,Coffee,Barista Espresso,Espresso shot,5,Lower Manhattan,6,3,18,10.8,7.2,40
2023-01-15,81,Branded,Clothing,I Need My Bean! T-shirt,8,Hell's Kitchen,1,28,28,16.8,11.2,40
2023-01-15,84,Flavours,Regular syrup,Chocolate syrup,8,Hell's Kitchen,4,0.8,3.2,1.92,1.28,40
2023-01-15,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,8,Hell's Kitchen,1,3,3,1.8,1.2,40
2023-01-15,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,8,Hell's Kitchen,7,3.75,26.25,15.75,10.5,40
2023-01-15,78,Bakery,Scone,Scottish Cream Scone ,3,Astoria,2,4.5,9,5.4,3.6,40
2023-01-15,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,8,Hell's Kitchen,3,2,6,3.6,2.4,40
2023-01-15,43,Tea,Brewed herbal tea,Lemon Grass Lg,5,Lower Manhattan,4,3,12,7.2,4.8,40
2023-01-15,3,Coffee beans,Espresso Beans,Espresso Roast,8,Hell's Kitchen,1,14.75,14.75,8.85,5.9,40
2023-01-15,76,Bakery,Biscotti,Chocolate Chip Biscotti,5,Lower Manhattan,2,3.5,7,4.2,2.8,40
2023-01-16,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,5,Lower Manhattan,6,3,18,10.8,7.2,40
2023-01-16,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5,Lower Manhattan,9,2.5,22.5,13.5,9,40
2023-01-16,79,Bakery,Scone,Jumbo Savory Scone,8,Hell's Kitchen,5,3.75,18.75,11.25,7.5,40
2023-01-16,10,Coffee beans,Green beans,Guatemalan Sustainably Grown,3,Astoria,1,10,10,6,4,40
2023-01-16,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,3,Astoria,4,2.55,10.2,6.12,4.08,40
2023-01-16,48,Tea,Brewed Black tea,English Breakfast Rg,3,Astoria,4,2.5,10,6,4,40
2023-01-16,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3,Astoria,14,3.5,49,29.4,19.6,40
2023-01-16,49,Tea,Brewed Black tea,English Breakfast Lg,5,Lower Manhattan,6,3,18,10.8,7.2,40
2023-01-16,49,Tea,Brewed Black tea,English Breakfast Lg,3,Astoria,11,3,33,19.8,13.2,40
2023-01-16,37,Coffee,Barista Espresso,Espresso shot,8,Hell's Kitchen,3,3,9,5.4,3.6,40
2023-01-16,72,Bakery,Scone,Ginger Scone,5,Lower Manhattan,1,3.25,3.25,1.95,1.3,40
2023-01-16,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,5,Lower Manhattan,5,4.5,22.5,13.5,9,40
2023-01-16,78,Bakery,Scone,Scottish Cream Scone ,5,Lower Manhattan,1,4.5,4.5,2.7,1.8,40
2023-01-16,75,Bakery,Pastry,Croissant,5,Lower Manhattan,1,3.5,3.5,2.1,1.4,40
2023-01-16,26,Coffee,Organic brewed coffee,Brazilian Rg,5,Lower Manhattan,3,3,9,5.4,3.6,40
2023-01-16,64,Flavours,Regular syrup,Hazelnut syrup,3,Astoria,2,0.8,1.6,0.96,0.64,40
2023-01-16,11,Loose Tea,Herbal tea,Lemon Grass,5,Lower Manhattan,1,8.95,8.95,5.37,3.58,40
2023-01-16,48,Tea,Brewed Black tea,English Breakfast Rg,8,Hell's Kitchen,1,2.5,2.5,1.5,1,40
2023-01-17,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,3,Astoria,12,2.5,30,18,12,40
2023-01-17,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,3,Astoria,6,2.5,15,9,6,40
2023-01-17,50,Tea,Brewed Black tea,Earl Grey Rg,3,Astoria,16,2.5,40,24,16,40
2023-01-17,38,Coffee,Barista Espresso,Latte,5,Lower Manhattan,3,3.75,11.25,6.75,4.5,40
2023-01-17,83,Branded,Housewares,I Need My Bean! Latte cup,3,Astoria,2,14,28,16.8,11.2,40
2023-01-17,71,Bakery,Pastry,Chocolate Croissant,3,Astoria,1,3.75,3.75,2.25,1.5,40
2023-01-17,38,Coffee,Barista Espresso,Latte,3,Astoria,2,3.75,7.5,4.5,3,40
2023-01-17,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,5,Lower Manhattan,6,2.45,14.7,8.82,5.88,40
2023-01-18,49,Tea,Brewed Black tea,English Breakfast Lg,5,Lower Manhattan,2,3,6,3.6,2.4,40
2023-01-18,37,Coffee,Barista Espresso,Espresso shot,8,Hell's Kitchen,11,3,33,19.8,13.2,40
2023-01-18,87,Coffee,Barista Espresso,Ouro Brasileiro shot,8,Hell's Kitchen,10,2.85,29.1,17.46,11.64,40
2023-01-18,72,Bakery,Scone,Ginger Scone,8,Hell's Kitchen,1,3.25,3.25,1.95,1.3,40
2023-01-18,38,Coffee,Barista Espresso,Latte,3,Astoria,7,3.75,26.25,15.75,10.5,40
2023-01-18,49,Tea,Brewed Black tea,English Breakfast Lg,3,Astoria,9,3,27,16.2,10.8,40
2023-01-18,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3,Astoria,6,3.75,22.5,13.5,9,40
2023-01-18,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,8,Hell's Kitchen,1,2,2,1.2,0.8,40
2023-01-18,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,3,Astoria,10,2,20,12,8,40
2023-01-18,69,Bakery,Biscotti,Hazelnut Biscotti,3,Astoria,5,3.25,16.25,9.75,6.5,40
2023-01-18,47,Tea,Brewed Green tea,Serenity Green Tea Lg,8,Hell's Kitchen,13,3,39,23.4,15.6,40
2023-01-18,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,8,Hell's Kitchen,3,3.75,11.25,6.75,4.5,40
2023-01-18,14,Loose Tea,Black tea,Earl Grey,8,Hell's Kitchen,2,8.95,17.9,10.74,7.16,40
2023-01-18,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,5,Lower Manhattan,2,3.1,6.2,3.72,2.48,40
2023-01-19,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,8,Hell's Kitchen,6,2.55,15.3,9.18,6.12,40
2023-01-19,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,8,Hell's Kitchen,6,4.5,27,16.2,10.8,40
2023-01-19,38,Coffee,Barista Espresso,Latte,8,Hell's Kitchen,5,3.75,18.75,11.25,7.5,40
2023-01-19,44,Tea,Brewed herbal tea,Peppermint Rg,3,Astoria,9,2.5,22.5,13.5,9,40
2023-01-19,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,3,Astoria,5,2.55,12.75,7.65,5.1,40
2023-01-19,42,Tea,Brewed herbal tea,Lemon Grass Rg,3,Astoria,11,2.5,27.5,16.5,11,40
2023-01-19,8,Coffee beans,Premium Beans,Civet Cat,8,Hell's Kitchen,1,45,45,27,18,40
2023-01-19,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,5,Lower Manhattan,6,3.75,22.5,13.5,9,40
2023-01-19,81,Branded,Clothing,I Need My Bean! T-shirt,3,Astoria,2,28,56,33.6,22.4,40
2023-01-19,84,Flavours,Regular syrup,Chocolate syrup,5,Lower Manhattan,11,0.8,8.8,5.28,3.52,40
2023-01-19,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,8,Hell's Kitchen,3,2.5,7.5,4.5,3,40
2023-01-19,41,Coffee,Barista Espresso,Cappuccino Lg,5,Lower Manhattan,8,4.25,34,20.4,13.6,40
2023-01-19,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,5,Lower Manhattan,5,3,15,9,6,40
2023-01-19,45,Tea,Brewed herbal tea,Peppermint Lg,3,Astoria,4,3,12,7.2,4.8,40
2023-01-19,69,Bakery,Biscotti,Hazelnut Biscotti,5,Lower Manhattan,3,3.25,9.75,5.85,3.9,40
2023-01-19,44,Tea,Brewed herbal tea,Peppermint Rg,8,Hell's Kitchen,8,2.5,20,12,8,40
2023-01-19,50,Tea,Brewed Black tea,Earl Grey Rg,5,Lower Manhattan,3,2.5,7.5,4.5,3,40
2023-01-20,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5,Lower Manhattan,3,2.55,7.65,4.59,3.06,40
2023-01-20,75,Bakery,Pastry,Croissant,5,Lower Manhattan,4,3.5,14,8.4,5.6,40
2023-01-20,79,Bakery,Scone,Jumbo Savory Scone,3,Astoria,5,3.75,18.75,11.25,7.5,40
2023-01-20,14,Loose Tea,Black tea,Earl Grey,3,Astoria,1,8.95,8.95,5.37,3.58,40
2023-01-20,78,Bakery,Scone,Scottish Cream Scone ,3,Astoria,8,4.5,36,21.6,14.4,40
2023-01-20,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,5,Lower Manhattan,4,2.2,8.8,5.28,3.52,40
2023-01-20,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,8,Hell's Kitchen,8,3,24,14.4,9.6,40
2023-01-20,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,3,Astoria,7,2.5,17.5,10.5,7,40
2023-01-20,26,Coffee,Organic brewed coffee,Brazilian Rg,8,Hell's Kitchen,13,3,39,23.4,15.6,40
2023-01-20,65,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,8,Hell's Kitchen,3,0.8,2.4,1.44,0.96,40
2023-01-20,69,Bakery,Biscotti,Hazelnut Biscotti,3,Astoria,5,3.25,16.25,9.75,6.5,40
2023-01-20,2,Coffee beans,House blend Beans,Our Old Time Diner Blend,5,Lower Manhattan,2,18,36,21.6,14.4,40
2023-01-20,39,Coffee,Barista Espresso,Latte Rg,8,Hell's Kitchen,9,4.25,38.25,22.95,15.3,40
2023-01-21,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,8,Hell's Kitchen,5,3.5,17.5,10.5,7,40
2023-01-21,27,Coffee,Organic brewed coffee,Brazilian Lg,8,Hell's Kitchen,8,3.5,28,16.8,11.2,40
2023-01-21,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,8,Hell's Kitchen,5,3.1,15.5,9.3,6.2,40
2023-01-21,26,Coffee,Organic brewed coffee,Brazilian Rg,8,Hell's Kitchen,8,3,24,14.4,9.6,40
2023-01-21,72,Bakery,Scone,Ginger Scone,8,Hell's Kitchen,5,3.25,16.25,9.75,6.5,40
2023-01-21,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,3,Astoria,5,2.2,11,6.6,4.4,40
2023-01-21,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,3,Astoria,3,2.5,7.5,4.5,3,40
2023-01-21,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,8,Hell's Kitchen,5,3,15,9,6,40
2023-01-21,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3,Astoria,2,3.75,7.5,4.5,3,40
2023-01-21,39,Coffee,Barista Espresso,Latte Rg,8,Hell's Kitchen,5,4.25,21.25,12.75,8.5,40
2023-01-21,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,5,Lower Manhattan,2,3,6,3.6,2.4,40
2023-01-21,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,8,Hell's Kitchen,6,2,12,7.2,4.8,40
2023-01-21,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,Astoria,4,3,12,7.2,4.8,40
